taskId,answer
645011243#645011235,1
722622335#722622337,1
728963891#728963881,1
703725421#703725417,1
725255040#725255036,1
721127678#721127676,1
722553452#722553451,1
663659483#663659474,1
665511385#665511381,1
720887519#720887510,1
630866819#630866820,1
723286554#723286543,1
721502164#721502159,1
715302122#715302121,1
720101708#720101698,1
719702864#719702860,1
726318119#726318121,1
720506018#720506022,1
715376987#715376990,1
725736482#725736477,1
574825528#574825532,1
713989316#713989314,1
714686097#714686083,1
722667617#722667615,1
703688605#703688592,1
727884953#727884934,1
720094707#720094704,1
720224845#720224844,1
706625028#706625032,1
693886681#693886679,1
713729914#703000303,1
641664603#641664592,1
719985488#719985491,1
728764322#728764325,1
664983910#664983909,1
715327813#715327809,1
721902194#721902189,1
719858636#719858628,1
705079353#705079315,1
715068767#715068768,1
698640080#698640064,1
710818696#710818698,1
715301095#715301092,1
710095844#710095849,1
721517184#721517177,1
561159003#561158986,1
714819728#714819739,1
728742806#728742807,1
723718108#723718103,1
696856673#696856644,1
727812313#727812309,1
714016882#714016881,1
583034599#583034602,1
721509226#721509215,1
595160695#595160704,1
679196498#679196502,1
648584959#648584958,1
722464580#722464585,1
718157010#718157012,1
693881706#693881708,1
687667060#687667050,1
728923586#728923588,1
663808110#663808085,1
707025654#707025657,1
654573714#654573711,1
707327477#707327478,1
708272808#708272805,1
726995682#726995683,1
717948203#717948198,1
702993420#702993410,1
721600882#721600876,1
719111550#719111551,1
725010800#725010802,1
712603710#712603709,1
725645247#725645243,1
685112058#685112050,1
725925584#725925576,1
686615517#686615525,1
699266545#699266537,1
667377150#667377153,1
723090026#723090020,1
729376321#729376305,1
723341351#723341346,1
722559791#722559789,1
656377611#656377603,1
728118925#728118924,1
711851629#711851619,1
715962721#715962718,1
728689554#728689558,1
723477654#723477645,1
686010828#686010821,1
726142766#726142761,1
716302413#716302416,1
652063880#652063897,1
721819423#721819416,1
727119534#727119531,1
693748584#693748589,1
722383435#722383413,1
711528860#711528871,1
463343875#463343872,1
623172509#623172507,1
700826658#700826650,1
725257314#725257302,1
712317965#712317961,1
720253675#720253679,1
722148158#722148140,1
673613652#673613603,1
702965287#702965285,1
727714726#727714725,1
720332005#720331987,1
723013142#723013139,1
722917294#722917286,1
729233295#729233293,1
727203589#727203584,1
718152766#718152763,1
698636142#698636143,1
686137949#686137948,1
712715488#712715482,1
727115747#727115745,1
722507909#722507911,1
690820595#690820589,1
721728732#721728731,1
603068716#603068720,1
722419228#722419232,1
705759323#705759324,1
676635717#676635719,1
